ID,SKU,UPC,MPN,VPN,Category,Description,Brand,Color,Size,CategoryValid,CorrectedCategory
{CBF42236-768A-48A3-947D-650C20BB55EF},SHI74296928R,192790327419,EBPL05ARFA,,Bike - Parts - Brakes - Disc,Shimano L05a-rf Disc Brake Pad And Spring - Resin Compound Finned Alloy Back Plate One Pair,Shimano,,,TRUE,Bike - Parts - Brakes - Disc
{A99CADE1-92B8-4563-85E7-65DE39229505},560047,689228623347,ICSR800011132,,Bike - Parts - Cassettes & Freewheels,Shimano - Csstultegra11spd11-32 - Cs-r8000 - Gray,Shimano,Gray,,TRUE,Bike - Parts - Cassettes & Freewheels
{37EC1CF2-D222-457A-862A-66967C360BB0},596757,192790447315,IM8120JLFXNA100,,Bike - Parts - Brakes - BrakeSet,Shimano - Disc Brkxtftpost Blbr-m8120pre-bledi-spec Ev - Series - Color,Shimano,Series Color,,TRUE,Bike - Parts - Brakes - BrakeSet
{E0B67ADB-64D4-46FD-A61C-66A2206C73E3},GA326419467E,4260477068743,42411288,,Bike - Parts - Grips and Tape,Ergon - Grips Large - Midsummer - Blue,ergon,,,TRUE,Bike - Parts - Grips and Tape
{AFB2A1BD-E00A-4EE6-9330-6730F1C78DF1},64778,745889138795,64778,64778,Bike - Parts - Tubes,Bontrager - Bontrager Standard 16x1.50-2.125 - Schrader - Valve,Bontrager,,,TRUE,Bike - Parts - Tubes
{CA3FA521-5C2D-45E0-9945-6764C343EEDA},PED41890685M,192790444185,EPDM8100,EPDM8100,Bike - Parts - Pedals,Shimano - Pd-m8100 Deore Xt Spd W/o - Reflector - W/cleatsm,Shimano,,,TRUE,Bike - Parts - Pedals
{72F1D315-D645-4943-B0DB-67DC1F32FB89},428058,710845674860,00.5315.035.020,,Bike - Parts - Brakes - Disc,"Sram - Organic Compound Alluminum Backed Disc Brake Pads - Level, Elixir, Db",Sram,,,TRUE,Bike - Parts - Brakes - Disc
{25083DAB-C32C-4D4B-95E7-6813073920FF},5253015,192790620909,IFDM4100D4,,Bike - Parts - Derailleurs,Shimano - Deore 2x10s Front Derailleur - Fd-m4100-d,Shimano,,2X10S,TRUE,Bike - Parts - Derailleurs
{7B576A1E-2954-40AF-9667-6854C6AA6AF9},280674,765250693005,11.5369.300.500,,Bike - Parts - Brakes - Disc,Avid - Pads Bb-5 Mech - Organicsteel,Avid,,,TRUE,Bike - Parts - Brakes - Disc
{EEE6EC10-FD35-4D80-A5C8-6881B83B7C0D},JB239396715T,710845674846,210851,210851-74/30T,Bike - Parts - Cranks & Chainrings,"Truvativ - Fsa Road Chaining - Black - 30t, 74mm, - 5 - Bolt",truvativ,5-BOLT,74/30T,TRUE,Bike - Parts - Cranks & Chainrings
{409701F3-9B2B-4A32-AD8C-68FA54AB5319},527116,689228921283,ERDT3000SGSL,,Bike - Parts - Derailleurs,Shimano - Derailleur Rd-t3000-sgs - Acera - 9-speed,Shimano,,,TRUE,Bike - Parts - Derailleurs
{F587FE6F-0880-4E19-BA45-690399309CF4},582177,601842090015,582177,582177,Bike - Parts - Tubes,Bontrager - Part Bontrager Line Elite Dropper Multi - Clamp - Lever,Bontrager,,,TRUE,Bike - Parts - Tubes
{0ECCDD05-DE35-453C-A10B-6967738C7F1B},1040589,192790447551,ESLM2010LB,,Bike - Parts - Shifters,Shimano - Shifteraltus3spdpod - Sl-m2010wogdblack - Black,Shimano,Black,,TRUE,Bike - Parts - Shifters
{1A2B5E40-1EDE-4C9D-B5F4-698F5E080162},5289291,710845848377,00.4318.045.004,,Bike - Parts - Forks - Suspension,Rockshox - Dust Wiper Kit - 35mm Flangeless Ultra-low - Friction - Skf,Rockshox,,,TRUE,Bike - Parts - Forks - Suspension
{6A0843A4-3539-4CCB-8AF5-699713969423},TRU449522224,710845408205,11.6215.015.000,CR2385,Bike - Parts - Cranks & Chainrings,Truvativ - Trushift 44t X 104mm Bcd Steel Ring - Black - V4,truvativ,,,TRUE,Bike - Parts - Cranks & Chainrings
{9C924C97-09F2-4148-B65B-69C9D96E7011},430313,763477008572,VC-1,,Bike - Parts - Tools,Park Tool - Core - Tool - Vc-1,Park Tool,,,TRUE,Bike - Parts - Tools
{DFB97D24-4BF0-4C10-B1B5-6B3FFBC95A54},BRE35216471K,5055308119379,DMR-G-BREN2-THICK-PN,DM2942,Bike - Parts - Grips and Tape - Grips,Brendog Flangeless Deathgrip Thick - Pink,,,,TRUE,Bike - Parts - Grips and Tape - Grips
{9CDAB5F9-87CC-462B-A04A-6B67D9CB4ADE},MIC79517827E,4710495434193,FD-R539-B,FD0193,Bike - Parts - Derailleurs,"Shimano - Rd-r539-b Triple Clamp Mounted Front Derailleur - 9 Sp - Shimano - Compatible, - 52-42-30t",shimano,,,TRUE,Bike - Parts - Derailleurs
{8FBAF64D-DFFF-4886-A874-6B851F4EE37E},TOO37195757K,641300350176,K1500317,77543,Bike - Parts - Tools,Crankbrothers - Crankbrothers Multi-17 Mini - Tool - Black,Crankbrothers,,,TRUE,Bike - Parts - Tools
